exclude
.h.b.
.h.p.
.h.t.
.h.d.
.h.c.
.h.k.
.h.g.
.h.r.
.h.l.
.h.n.
.h.m.
.h.#
.t.h.
.tt.h.
.a.a.
.a.ar.
.a.ah.
.a.i.
.a.u.
.ar.a.
.ar.i.
.ar.o.
.ar.u.
.aw.a.
.aw.i.
.aw.o.
.aw.u.
.ait.y.
.e.e.
.e.ea.
.ee.a.
.i.a.
.i.o.
.i.oo.
.o.o.
.o.#
.o.or.
.o.o-
.o.o_
.o.o#
.or.a.
.or.i.
.or.o.
.or.u.
.u.i.
.u.u.
.u.#
.b.b.
.c.h.
.c.k.
.d.d.
.d.h.
.g.g.
.l.l.
.m.m.
.n.n.
#.n.
.p.p.
.r.r.
.t.t.
.t.th.
.w.w.
.y.y.
#.y.
.n.ge.
.n.gee.
.n.ge#
.n.ge-
.n.ge_
.n.gi.
#.n.g.
#n.g.
#.n.gi.
#n.gi.
#.n.ge.
#n.ge.
#.g.n.
.n.g.#

